search;found_place;address;latitude;longitude;facility_label;Notes
TPA BABAH DUA Nagan Raya;TPA BABAH DUA TADU RAYA NAGAN;38PW+GHX, Babah Dua, Kec. Tadu Raya, Kabupaten Nagan Raya, Aceh 23671;4.0863622;96.3464775;Not Found;
TPA Kampung Durian Aceh Tamiang;TPA SAMPAH DLH ACEH TAMIANG;835H+JVP, Rantau Pauh, Kec. Rantau, Kabupaten Aceh Tamiang, Aceh 24476;4.3090804;98.0616682;Kantor Perusahaan;
TPA Uber-Uber Bener Meriah;TPA SAMPAH;PX86+JC, Muyang Kute Mangku, Kec. Bandar, Kabupaten Bener Meriah, Aceh;4.7165368;96.8890024;Tempat Pembuangan Sampah;
TPA BLANG AWE Pidie Jaya;TPA Pidie Jaya;662Q+932, Hutan (Meureudu), Kec. Meureudu, Kabupaten Pidie Jaya, Aceh;5.200881;96.1552355;Tempat Pembuangan Sampah;
TPA Regional Blang Bintang Banda Aceh;TPA Regional Blang Bintang, Aceh Besar;GF8G+JVC, Peurumping, Kec. Montasik, Kabupaten Aceh Besar, Aceh 23373;5.5165704;95.4771514;Pusat Daur Ulang;
TPA Kota Banda Aceh Banda Aceh;Tempat Pembuangan Akhir Kota Banda Aceh;H8H8+F84, Gampong Jawa, Kec. Kuta Raja, Kota Banda Aceh, Aceh 24415;5.5786335;95.2437427;Tempat Pembuangan Sampah;
TPA LHOK BATEE Sabang;TPA LHOK BATEE;V82R+MRC, Jalan Sabang-Balohan, Cot Abeuk, Kec. Sukajaya, Kota Sabang, Aceh 24411;5.8516791;95.3420096;Kantor Pemerintah;
TPA ALUE LIM Lhokseumawe;TPA ALue Lim;44HC+MMJ, Alue Lim, Kec. Blang Mangat, Kota Lhokseumawe, Aceh 24355;5.1292246;97.1216339;Kantor Perusahaan;
TPA Kota Langsa Langsa;TPA Sampah Kota Langsa;CWF9+MV8, Jambur Labu, Kec. Birem Bayeun, Kabupaten Aceh Timur, Aceh 24375;4.4241575;97.8476095;Tempat Pembuangan Sampah;
TPA SARKEA KOTA SUBULUSSALAM Subulussalam;TPAS;P237+RC6, dano, teras, Kota Subulussalam, Aceh;2.7045444;97.869334;Tempat Pembuangan Sampah;
TPA BAKARU Nias;TPA MANIAMOLO-NIAS SELATAN;JPHG+327, Tlk., Hilisimaetano, Kec. Tlk. Dalam, Kabupaten Nias Selatan, Sumatera Utara 22865;0.6276525;88.4965411;Tempat Pembuangan Sampah;
TPA padang cermin Langkat;Not Found;Not Found;3.5523149;98.4125935;Not Found;
TPA bahorok Langkat;Not Found;Not Found;3.5963634;98.3072542;Not Found;
TPA tangkahan durian Langkat;Not Found;Not Found;3.9846615;98.2320094;Not Found;
